Timestamp,moradorOuSeguranca,casaOuPredios,cidadeCasas,qntdCasas,1a5seguroCasas,1a5segurancaCasas,problemas,problemasDescricaoCasas,temCamerasCasas,camerasSuficientesCasas,moraComDependenteCasas,dependenteTransitaSoCasas,preocupadoDependenteAndarSoCasas,avisadoDependenteSoCasas,cidadePredios,qntdBlocosPredios,andaresPredios,1a5seguroPredios,1a5segurancaPredios,problemasPredios,descricaoPredios,temCamerasPredios,camerasSuficientesPredios,"MoraComDependentesPredios
distúrbios)",dependenteTansitaSoPredios,"PreocupadoDependenteAndarSoPredios
acompanhamento?",avisadoDependenteSoPredios,trabalhaCasaPredio,cidadeTrabalhaPredio,seguranca1a5trabalhaPredio,controleDeAcessoPredios,temCameraTrabalhaPredios,"CamerasSuficientesTrabalhaPredios
comuns?",problemasTrabalhaPredio,descricaoTrabalhaPredio,cidadeTrabalhaCasas,1a5segurancaTrabalhaCasas,Qual controle de acesso seu condomínio possui?,temCamerasTrabalhaCasas,camerasSuficientesCasas,problemasTrabalhaCasa,descricaoProblemaTrabalhaCasa
10/21/2024 13:10:07,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Uberlândia MG ,Até 6 blocos,Até 3 andares,5,1,Não,,Sim,Sim,Não,Não,Não,,,,,,,,,,,,,,,,
10/21/2024 13:10:17,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Unai mg ,Até 6 blocos,Mais de 8 andares,1,1,Sim,Furto de bicicleta ,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:10:19,Morador,Moro em um condomínio de Casas,Nossa senhora de Lourdes Sergipe ,Até 5 quadras,3,3,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:10:22,Morador,Moro em um condomínio de Casas,Aracaju,Mais de 10 quadras,3,3,Sim,"Uma pessoa que não estávamos esperando simplesmente entrou com o carro dentro do condomínio, Quando interfonei eles simplesmente falou que tinha aberto o portão para um morador entrar e a pessoa entrou atrás.",Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:10:25,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,31,De 6 a 11 blocos,Até 3 andares,4,3,Não,,Sim,Não,Não,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:10:37,Morador,Moro em um condomínio de Casas,Arapiraca ,Mais de 10 quadras,3,3,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:10:48,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Maceió/ Alagoas.,Até 6 blocos,De 3-8 andares,3,2,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:10:49,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Uberlândia ,Até 6 blocos,Até 3 andares,3,4,Sim,Roubo ,Sim,Sim,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:10:58,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,28,Até 6 blocos,Até 3 andares,1,1,Não,,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,
10/21/2024 13:10:59,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Rio de Janeiro ,Mais de 11 blocos,Mais de 8 andares,3,3,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,
